iter	RMSE
0	0.24409377
1	0.239803606
2	0.2363471243
3	0.2315732859
4	0.2290299094
5	0.2269961774
6	0.2238589789
7	0.2203262637
8	0.2153507359
9	0.2144797558
10	0.2094909912
11	0.2064608326
12	0.2045165673
13	0.2039425743
14	0.2037210208
15	0.2008913068
16	0.1978705624
17	0.1964358886
18	0.1938820194
19	0.1921330332
20	0.1906983914
21	0.1886742347
22	0.1875763806
23	0.1859214396
24	0.1825393523
25	0.1815716463
26	0.1811627017
27	0.1807844335
28	0.1784454433
29	0.1782783111
30	0.1753946783
31	0.1747522021
32	0.1741183936
33	0.1727976684
34	0.1720544084
35	0.1694631843
36	0.1693625519
37	0.1667083982
38	0.1657505086
39	0.1642592723
40	0.1614652466
41	0.1612155107
42	0.1602526858
43	0.1600952577
44	0.1588908377
45	0.1579807734
46	0.1569055531
47	0.1563429016
48	0.1527785745
49	0.1517394568
50	0.1507222261
51	0.1506102226
52	0.1497651267
53	0.1485481743
54	0.1473948979
55	0.1464336066
56	0.1441078992
57	0.1431572172
58	0.1428250708
59	0.1415658278
60	0.1402377889
61	0.1395003253
62	0.1389080161
63	0.1376489515
64	0.1341676418
65	0.1335473684
66	0.1329180843
67	0.1317941518
68	0.1307446899
69	0.1298465853
70	0.1293267857
71	0.1287640122
72	0.1286265217
73	0.1281259929
74	0.1275476676
75	0.1274285986
76	0.1268227355
77	0.1261724862
78	0.1253065367
79	0.1241434678
80	0.1236548649
81	0.1228562611
82	0.1219101367
83	0.12137135
84	0.1204687872
85	0.1194553666
86	0.1189168594
87	0.1171832783
88	0.1161126501
89	0.1143122547
90	0.1135546753
91	0.1127546067
92	0.1123567506
93	0.111746103
94	0.1100241469
95	0.1093990681
96	0.1080104081
97	0.106959387
98	0.1054460542
99	0.1040545813
