iter	Passed	Remaining
0	83	8240
1	91	4470
2	104	3380
3	123	2974
4	142	2706
5	151	2372
6	168	2234
7	185	2136
8	202	2047
9	203	1827
10	211	1709
11	217	1598
12	226	1514
13	227	1398
14	228	1296
15	229	1206
16	233	1139
17	235	1074
18	240	1023
19	247	991
20	271	1022
21	288	1024
22	298	1000
23	308	977
24	336	1009
25	349	994
26	369	998
27	386	992
28	403	987
29	424	990
30	437	973
31	452	962
32	479	973
33	496	963
34	515	958
35	540	960
36	552	939
37	558	911
38	583	912
39	598	897
40	618	889
41	624	862
42	625	828
43	625	796
44	628	768
45	643	755
46	645	728
47	648	702
48	652	679
49	654	654
50	662	636
51	667	616
52	685	608
53	698	595
54	715	585
55	731	574
56	744	561
57	754	546
58	782	543
59	806	537
60	852	545
61	884	542
62	916	538
63	949	534
64	1017	547
65	1050	540
66	1050	517
67	1054	496
68	1074	482
69	1093	468
70	1094	447
71	1096	426
72	1104	408
73	1112	390
74	1118	372
75	1120	353
76	1124	335
77	1127	317
78	1128	299
79	1130	282
80	1131	265
81	1137	249
82	1142	233
83	1144	217
84	1165	205
85	1180	192
86	1191	178
87	1208	164
88	1246	154
89	1276	141
90	1301	128
91	1340	116
92	1358	102
93	1359	86
94	1359	71
95	1362	56
96	1365	42
97	1368	27
98	1368	13
99	1375	0
