country,continent,total_confirmed,total_deaths,total_recovered,active_cases,total_tests,population
Afghanistan,Asia,179267,7690,162202,9375,951337,40560636
Albania,Europe,275574,3497,271826,251,1817530,2871945
Algeria,Africa,265816,6875,178371,80570,230861,45325517
Andorra,Europe,42156,153,41021,982,249838,77495
Angola,Africa,99194,1900,97149,145,1499795,34769277
Anguilla,North_America,2984,9,2916,59,51382,15252
Antigua_And_Barbuda,North_America,7721,137,7511,73,18901,99439
Argentina,South_America,9101319,128729,8895999,76591,35716069,45968174
Armenia,Asia,422896,8623,412048,2225,3068217,2973558
Aruba,North_America,35693,213,35199,281,177885,107610
Australia,Australia/Oceania,6593795,7794,6199822,386179,70885598,26050899
Austria,Europe,4212492,18303,4135885,58304,185034905,9102106
Azerbaijan,Asia,792638,9709,782869,60,6838458,10309383
Bahamas,North_America,33871,801,32488,582,233473,400242
Bahrain,Asia,576997,1479,569758,5760,9775981,1811659
Bangladesh,Asia,1953012,29127,1899419,24466,14051455,167745162
Barbados,North_America,76261,433,71497,4331,669421,288030
Belarus,Europe,982867,6978,975889,0,13220483,9443535
Belgium,Europe,4116397,31613,3941350,143434,33846023,11683561
Belize,North_America,57896,676,56761,459,549217,411069
Benin,Africa,26952,163,25506,1283,604310,12714341
Bermuda,North_America,14135,135,13664,336,893980,61850
Bhutan,Asia,59570,21,59491,58,2303690,787432
Bolivia,South_America,906146,21943,863665,20538,2705422,11969554
Bosnia_And_Herzegovina,Europe,377511,15778,361733,0,1767199,3242823
Botswana,Africa,306324,2690,303026,608,2026898,2440037
Brazil,South_America,30682094,664920,29718402,298772,63776166,215373503
British_Virgin_Islands,North_America,6573,62,6511,0,103637,30606
Brunei_Darussalam,Asia,144659,220,142788,1651,717784,445281
Bulgaria,Europe,1161504,37045,1014302,110157,9924259,6851060
Burkina_Faso,Africa,20853,382,20439,32,248995,21970296
Burundi,Africa,41235,38,41197,0,345742,12549999
Cabo_Verde,Africa,56105,401,55613,91,400982,567234
Cambodia,Asia,136262,3056,133194,12,2961934,17149867
Cameroon,Africa,119780,1927,117791,62,1751774,27776053
Canada,North_America,3821346,40228,3499564,281554,61436458,38358465
Caribbean_Netherlands,North_America,9915,35,9829,51,30126,26677
Cayman_Islands,North_America,23578,28,8553,14997,222773,67159
Central_African_Republic,Africa,14649,113,6859,7677,81294,4986136
Chad,Africa,7414,193,4874,2347,191341,17303260
Channel_Islands,Europe,75275,173,74574,528,1252808,176848
Chile,South_America,3605522,57722,3468131,79669,37693651,19421812
China_Hong_Kong_Sar,Asia,1208506,9361,1199145,0,44972952,7610260
China_Macao_Sar,Asia,82,0,82,0,5375,665819
China,Asia,221804,5209,210454,6141,160000000,1439323776
Colombia,South_America,6095316,139821,5928829,26666,34675581,51892950
Comoros,Africa,8100,160,7933,7,700973,904091
Congo,Africa,24079,385,20178,3516,347815,5770949
Cook_Islands,Australia/Oceania,5410,1,5291,118,17469,17594
Costa_Rica,North_America,866164,8444,841683,16037,4401922,5180753
Cote_D_Ivoire,Africa,81989,799,81168,22,1509861,27594347
Croatia,Europe,1131450,15930,1111405,4115,4838151,4058130
Cuba,North_America,1104589,8529,1095534,526,12920253,11313741
Curacao,North_America,43017,275,42203,539,496693,165343
Cyprus,Asia,477711,1032,124370,352309,9477138,1223728
Czech_Republic,Europe,3915847,40245,3871654,3948,55323981,10745981
Democratic_Republic_Of_The_Congo,Africa,87023,1337,50930,34756,846704,94629737
Denmark,Europe,2976667,6287,2960386,9994,127345763,5830190
Djibouti,Africa,15631,189,15427,15,305941,1014756
Dominica,North_America,12685,63,12323,299,194894,72319
Dominican_Republic,North_America,580412,4376,575583,453,3305829,11050510
Ecuador,South_America,872268,35607,836661,0,2470170,18141962
Egypt,Africa,515645,24613,442182,48850,3693367,105928386
El_Salvador,North_America,162089,4129,150662,7298,1950448,6547158
Equatorial_Guinea,Africa,15910,183,15701,26,317211,1488778
Eritrea,Africa,9745,103,9632,10,23693,3637828
Estonia,Europe,573922,2556,514836,56530,3345340,1328196
Ethiopia,Africa,470937,7510,455757,7670,4836364,120265111
Faeroe_Islands,Europe,34658,28,7693,26937,778000,49209
Falkland_Islands_Malvinas,South_America,1126,11,1115,0,8632,3669
Fiji,Australia/Oceania,64773,862,62875,1036,517703,908543
Finland,Europe,1069740,4284,1065456,0,10832080,5556750
France,Europe,29160802,147257,28156674,856871,271490188,65542502
French_Guiana,South_America,81784,397,11254,70133,631628,313094
French_Polynesia,Australia/Oceania,72821,649,72172,0,220142,283932
Gabon,Africa,47608,304,47297,7,1594523,2323511
Gambia,Africa,11999,365,11591,43,155686,2543054
